Any,Codi_Districte,Nom_Districte,Codi_Barri,Desc_Barri,Cilindrada_motos,Nombre_motos
2018,3,Sants-Montjuïc,18,Sants,Més de 750 cc,441
2018,4,Les Corts,19,les Corts,Més de 750 cc,653
2018,4,Les Corts,20,la Maternitat i Sant Ramon,Més de 750 cc,279
2018,4,Les Corts,21,Pedralbes,Més de 750 cc,230
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Més de 750 cc,103
2018,5,Sarrià-Sant Gervasi,23,Sarrià,Més de 750 cc,390
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,Més de 750 cc,287
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Més de 750 cc,447
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Més de 750 cc,972
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Més de 750 cc,438
2018,6,Gràcia,28,Vallcarca i els Penitents,Més de 750 cc,223
2018,6,Gràcia,29,el Coll,Més de 750 cc,87
2018,6,Gràcia,30,la Salut,Més de 750 cc,142
2018,6,Gràcia,31,la Vila de Gràcia,Més de 750 cc,527
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Més de 750 cc,401
2018,7,Horta-Guinardó,33,el Baix Guinardó,Més de 750 cc,254
2018,7,Horta-Guinardó,34,Can Baró,Més de 750 cc,97
