Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Tipus_Vehicles,Desc_tipus_propietari,Nombre
2016,2,Eixample,5,el Fort Pienc,6,Motos,Subjecte Jurídic,8
2016,2,Eixample,5,el Fort Pienc,6,Motos,Subjecte Físic,195
2016,2,Eixample,5,el Fort Pienc,7,Turismes,Subjecte Jurídic,41
2016,2,Eixample,5,el Fort Pienc,7,Turismes,Subjecte Físic,325
2016,2,Eixample,5,el Fort Pienc,7,Motos,Subjecte Jurídic,16
2016,2,Eixample,5,el Fort Pienc,7,Motos,Subjecte Físic,129
2016,2,Eixample,5,el Fort Pienc,8,Turismes,Subjecte Jurídic,61
2016,2,Eixample,5,el Fort Pienc,8,Turismes,Subjecte Físic,524
2016,2,Eixample,5,el Fort Pienc,8,Motos,Subjecte Jurídic,11
2016,2,Eixample,5,el Fort Pienc,8,Motos,Subjecte Físic,217
2016,2,Eixample,5,el Fort Pienc,9,Turismes,Subjecte Jurídic,46
2016,2,Eixample,5,el Fort Pienc,9,Turismes,Subjecte Físic,495
2016,2,Eixample,5,el Fort Pienc,9,Motos,Subjecte Jurídic,9
2016,2,Eixample,5,el Fort Pienc,9,Motos,Subjecte Físic,189
2016,2,Eixample,5,el Fort Pienc,10,Turismes,Subjecte Jurídic,30
2016,2,Eixample,5,el Fort Pienc,10,Turismes,Subjecte Físic,328
2016,2,Eixample,5,el Fort Pienc,10,Motos,Subjecte Jurídic,4
2016,2,Eixample,5,el Fort Pienc,10,Motos,Subjecte Físic,146
2016,2,Eixample,5,el Fort Pienc,11,Turismes,Subjecte Jurídic,42
2016,2,Eixample,5,el Fort Pienc,11,Turismes,Subjecte Físic,338
2016,2,Eixample,5,el Fort Pienc,11,Turismes,Altres,1
2016,2,Eixample,5,el Fort Pienc,11,Motos,Subjecte Jurídic,12
2016,2,Eixample,5,el Fort Pienc,11,Motos,Subjecte Físic,127
2016,2,Eixample,5,el Fort Pienc,12,Turismes,Subjecte Jurídic,15
2016,2,Eixample,5,el Fort Pienc,12,Turismes,Subjecte Físic,424
2016,2,Eixample,5,el Fort Pienc,12,Motos,Subjecte Jurídic,3
2016,2,Eixample,5,el Fort Pienc,12,Motos,Subjecte Físic,192
2016,2,Eixample,5,el Fort Pienc,13,Turismes,Subjecte Jurídic,30
2016,2,Eixample,5,el Fort Pienc,13,Turismes,Subjecte Físic,293
2016,2,Eixample,5,el Fort Pienc,13,Motos,Subjecte Jurídic,11
2016,2,Eixample,5,el Fort Pienc,13,Motos,Subjecte Físic,154
2016,2,Eixample,5,el Fort Pienc,14,Turismes,Subjecte Jurídic,20
2016,2,Eixample,5,el Fort Pienc,14,Turismes,Subjecte Físic,310
2016,2,Eixample,5,el Fort Pienc,14,Motos,Subjecte Jurídic,3
2016,2,Eixample,5,el Fort Pienc,14,Motos,Subjecte Físic,124
2016,2,Eixample,5,el Fort Pienc,15,Turismes,Subjecte Jurídic,21
2016,2,Eixample,5,el Fort Pienc,15,Turismes,Subjecte Físic,368
2016,2,Eixample,5,el Fort Pienc,15,Motos,Subjecte Jurídic,5
