Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipus_propietari,Nombre_turismes
2013,4,Les Corts,21,Pedralbes,No consta,1
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",No consta,0
2013,5,Sarrià-Sant Gervasi,23,Sarrià,No consta,1
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,No consta,0
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,No consta,1
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,No consta,0
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,No consta,0
2013,6,Gràcia,28,Vallcarca i els Penitents,No consta,0
2013,6,Gràcia,29,el Coll,No consta,0
2013,6,Gràcia,30,la Salut,No consta,0
2013,6,Gràcia,31,la Vila de Gràcia,No consta,0
2013,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,No consta,1
2013,7,Horta-Guinardó,33,el Baix Guinardó,No consta,1
2013,7,Horta-Guinardó,34,Can Baró,No consta,0
2013,7,Horta-Guinardó,35,el Guinardó,No consta,0
2013,7,Horta-Guinardó,36,la Font d'en Fargues,No consta,0
2013,7,Horta-Guinardó,37,el Carmel,No consta,0
2013,7,Horta-Guinardó,38,la Teixonera,No consta,0
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,No consta,0
2013,7,Horta-Guinardó,40,Montbau,No consta,0
2013,7,Horta-Guinardó,41,la Vall d'Hebron,No consta,2
2013,7,Horta-Guinardó,42,la Clota,No consta,0
2013,7,Horta-Guinardó,43,Horta,No consta,0
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,No consta,0
2013,8,Nou Barris,45,Porta,No consta,0
2013,8,Nou Barris,46,el Turó de la Peira,No consta,0
2013,8,Nou Barris,47,Can Peguera,No consta,0
2013,8,Nou Barris,48,la Guineueta,No consta,0
2013,8,Nou Barris,49,Canyelles,No consta,0
2013,8,Nou Barris,50,les Roquetes,No consta,0
2013,8,Nou Barris,51,Verdun,No consta,0
2013,8,Nou Barris,52,la Prosperitat,No consta,0
